Função,TempoTotal
"waitbar>@()set(0,'Units',oldRootUnits)",0.000336
"ScribeStackManager.ScribeStackManager>ScribeStackManager.getInstance",0.000322
"ScribeLayer.ScribeLayer>ScribeLayer.checkValidity",0.000285
"ScribeLayer.ScribeLayer>ScribeLayer.findCanvas",0.00027
"BaseAxesInteractionOptions>BaseAxesInteractionOptions.BaseAxesInteractionOptions",0.000259
"JavaMigrationTools>@()lastwarn(lastmsg,lastid)",0.000255
"PointerMixin>PointerMixin.hasUserModifiedPointer",0.000254
"JavaMigrationTools>@()warning(w)",0.00023
"InteractionContainer>InteractionContainer.get.Enabled",0.000227
"ToolbarController.ToolbarController>ToolbarController.getHitAxes",0.000219
"isPublishingTest",0.000218
"PointerMixin>PointerMixin.delete",0.000213
"InteractionContainer>InteractionContainer.clearList",0.000185
"AxesKeyboardInteractionManager>AxesKeyboardInteractionManager.AxesKeyboardInteractionManager",0.000184
"isFigureShowEnabled",0.000171
"FigurePointerModeStrategy>FigurePointerModeStrategy.FigurePointerModeStrategy",0.000168
"EditInteraction>EditInteraction.EditInteraction",0.000166
"FigureBasedModeStrategy>FigureBasedModeStrategy.FigureBasedModeStrategy",0.000162
"DefaultAxesInteractionSet>DefaultAxesInteractionSet.DefaultAxesInteractionSet",0.000157
"TextInteractionContainer>TextInteractionContainer.getDefaultInteractionsArray",0.000141
"java.awt.Color",1.7e-05
"java.lang.Class",1.1e-05
